Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2017_q3,,Cataract Surgery,,Zone 1,Yarmouth Regional,2017,3,60,157,90,109
2016_q3,,Male Circumcision  (Adult),,Total,Provincial,2016,3,41,189,57,224
2016_q4,,Prostate Surgery,,Zone 1,Valley Regional,2016,4,72,192,67,171
2016_q4,,Dental Extractions and Restorations  (Adult),,Zone 4,Dartmouth General,2016,4,10,23,29,64
2017_q1,,Knee Scope,,Zone 2,Aberdeen Hospital,2017,1,107,319,117,271
2017_q4,,Prostatectomy,,Zone 4,QE2,2017,4,14,119,52,150
2017_q4,,Breast Cancer Surgery,,IWK,IWK,2017,4,7,12,9,23
2016_q4,,Breast Cancer Surgery,,Zone 2,Aberdeen Hospital,2016,4,9,32,15,22
2018_q1,,Hand / Upper Extremity,,Zone 4,QE2,2018,1,77,190,106,358
2016_q4,,Wound Management,,Total,Provincial,2016,4,,,69,356
2016_q4,,Male Reproductive System Surgery,,Zone 1,Valley Regional,2016,4,,,152,363
2017_q4,,Esophagectomy / Esophageal Surgery,,Zone 4,QE2,2017,4,,,33,57
2017_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,IWK,IWK,2017,1,84,113,150,232
2017_q1,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 3,St. Marthas Regional,2017,1,28,114,29,75
2016_q3,,Laryngology and Vocal Cord Surgery,,Total,Provincial,2016,3,36,99,40,298
2017_q1,,Lung Surgery,,Total,Provincial,2017,1,20,50,49,88
2017_q3,,Hysterectomy  (Cancer Suspected or Proven),,Zone 4,QE2,2017,3,18,25,56,69
2017_q2,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2017,2,,,152,176
2016_q4,,Bowel Resection - Open,,Total,Provincial,2016,4,20,129,26,70
2017_q2,,Orthopaedic Trauma,,Zone 4,QE2,2017,2,68,273,48,146
2017_q1,,Male Circumcision  (Pediatric),,Total,Provincial,2017,1,29,62,73,216
2016_q4,,Shoulder Arthroscopy,,Zone 4,Hants Community Hospital,2016,4,84,277,83,351
2017_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,Yarmouth Regional,2017,3,31,50,21,48
2017_q4,,Hernia Repair - Inguinal/Femoral,,Zone 4,QE2,2017,4,80,179,62,154
2017_q4,,Gastrointestinal Tract Surgery,,Zone 4,QE2,2017,4,36,113,57,278
2017_q3,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2017,3,14,25,37,100
2018_q1,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2018,1,21,47,44,106
2017_q2,,Coronary Artery Bypass Graft,,Zone 4,QE2,2017,2,,,8,26
2017_q4,,Glaucoma (Eye Pressure Lowering Surgery),,Zone 4,QE2,2017,4,40,240,14,53
2017_q2,,Knee Scope,,Zone 4,Dartmouth General,2017,2,76,322,96,250
2018_q1,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2018,1,124,136,89,120
2018_q1,,Hip Replacement,,Zone 1,Valley Regional,2018,1,126,463,287,489
2016_q3,,Carpal Tunnel Surgery,,Zone 1,South Shore Regional,2016,3,31,89,66,156
2017_q4,,Wound Management,,Total,Provincial,2017,4,,,22,84
2016_q3,,Bowel Resection,,Zone 3,Cape Breton Regional,2016,3,13,42,23,50
2016_q3,,Hernia Repair - Umbilical,,Total,Provincial,2016,3,36,126,56,130
2018_q1,,Gallbladder Surgery,,Zone 1,Valley Regional,2018,1,50,104,56,125
2018_q1,,Colorectal Cancer Surgery,,Zone 4,QE2,2018,1,16,63,34,61
2017_q3,,Prostate Surgery,,Zone 3,Northside General,2017,3,42,193,37,105
2017_q4,,Cardiac Valve Replacement,,Zone 4,QE2,2017,4,,,6,70
2017_q2,,Gastric Surgery,,IWK,IWK,2017,2,,,29,73
2016_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,Cape Breton Regional,2016,4,,,29,50
2016_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,South Shore Regional,2016,3,20,90,38,70
2017_q3,,Liver Surgery,,Zone 4,QE2,2017,3,20,34,31,44
2017_q3,,Cataract Surgery,,Zone 1,Soldiers Memorial,2017,3,119,147,153,266
2016_q4,,Colorectal Cancer Surgery,,Zone 4,Dartmouth General,2016,4,30,225,34,64
2017_q2,,Gallbladder Surgery,,Zone 1,Yarmouth Regional,2017,2,18,77,27,74
2017_q4,,Pacemaker Insertion,,Zone 4,QE2,2017,4,,,6,18
2016_q4,,Hysteroscopy,,IWK,IWK,2016,4,45,182,47,148
2016_q4,,Angioplasty,,Total,Provincial,2016,4,27,54,38,107
2016_q3,,Carpal Tunnel Surgery,,Zone 3,St. Marthas Regional,2016,3,62,328,41,113
2017_q4,,Pacemaker Insertion,,Total,Provincial,2017,4,9,20,7,30
2017_q3,,Knee Replacement - Partial,,Zone 4,QE2,2017,3,78,105,134,228
2016_q3,,Strabismus Surgery  (Pediatric),,Total,Provincial,2016,3,87,447,221,452
2017_q3,,Video-Assisted Thoracic Surgery,,Total,Provincial,2017,3,21,56,41,77
2016_q4,,Gastric Surgery - Laparoscopic,,Zone 4,QE2,2016,4,65,196,86,287
2017_q2,,Gallbladder Surgery,,Zone 2,Colchester East Hants Health Centre,2017,2,23,48,46,89
2017_q1,,Septoplasty,,Zone 2,Cumberland Regional,2017,1,53,102,135,331
2017_q2,,Hernia Repair - Inguinal/Femoral,,Zone 2,Aberdeen Hospital,2017,2,,,41,177
2017_q1,,Palmar Fascia Excision for Dupuytren's Disease,,Total,Provincial,2017,1,33,229,45,192
2017_q2,,Gallbladder Surgery,,Zone 3,Northside General,2017,2,31,148,36,66
2017_q2,,Tear Duct Surgery,,Total,Provincial,2017,2,183,364,,
2016_q4,,Hernia Repair - Incisional,,Zone 1,Valley Regional,2016,4,26,28,56,86
2017_q3,,Gallbladder Surgery,,Zone 1,South Shore Regional,2017,3,18,54,22,33
2017_q2,,Tear Duct Surgery,,Zone 4,QE2,2017,2,183,364,,
2016_q3,,Septoplasty,,Zone 3,Cape Breton Regional,2016,3,45,215,64,131
2017_q1,,Hip Replacement,,Zone 3,Cape Breton Regional,2017,1,107,378,84,256
2017_q3,,Knee Replacement - Partial,,Zone 4,Dartmouth General,2017,3,,,97,338
2016_q3,,Cardiac Valve Replacement,,Total,Provincial,2016,3,,,24,71
2017_q3,,Kidney / Upper Urinary Tract,,Zone 4,QE2,2017,3,126,1125,36,130
2017_q4,,Breast Cancer Surgery,,Zone 3,Cape Breton Regional,2017,4,8,21,15,27
2017_q3,,Bladder Cancer Surgery,,Total,Provincial,2017,3,18,107,35,85
2017_q3,,Orthopaedic Trauma,,Zone 4,QE2,2017,3,29,118,36,216
2016_q4,,Hernia Repair - Incisional,,Zone 2,Colchester East Hants Health Centre,2016,4,44,58,51,125
2017_q2,,Nerve Surgery,,Zone 3,Northside General,2017,2,,,20,27
2016_q4,,Gastrointestinal Tract Surgery,,Zone 1,South Shore Regional,2016,4,50,170,18,31
2017_q4,,Hernia Repair  (Adult),,Zone 2,Cumberland Regional,2017,4,23,71,30,48
2016_q3,,ERCP,,Total,Provincial,2016,3,,,6,20
2017_q4,,Breast Cancer Surgery,,Total,Provincial,2017,4,7,21,16,45
2016_q4,,Tubal Ligation,,Total,Provincial,2016,4,36,160,53,155
2017_q2,,Breast Cancer Surgery,,Zone 1,Valley Regional,2017,2,10,42,27,43
2016_q3,,Prostate Surgery,,Total,Provincial,2016,3,20,92,50,117
2017_q2,,Nissen Fundoplication - Laparoscopic,,Zone 4,QE2,2017,2,70,232,171,349
2017_q2,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2017,2,45,152,41,176
2017_q2,,Shoulder Arthroscopy,,Zone 2,Aberdeen Hospital,2017,2,154,351,50,171
2016_q4,,Sacral Nerve Stimulation,,Total,Provincial,2016,4,1,558,55,139
2017_q3,,Gallbladder Surgery,,Zone 3,St. Marthas Regional,2017,3,14,60,46,157
2016_q4,,Hip Replacement,,Total,Provincial,2016,4,91,274,156,647
2016_q4,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Yarmouth Regional,2016,4,,,22,50
2017_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Aberdeen Hospital,2017,1,,,87,120
2016_q4,,Cardiovascular Surgery,,Total,Provincial,2016,4,,,17,83
2018_q1,,Male Reproductive System Surgery,,IWK,IWK,2018,1,34,68,104,224
2017_q3,,Male Reproductive System Surgery,,Zone 3,Inverness Consolidated Memorial,2017,3,63,162,23,40
2016_q4,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,Cape Breton Regional,2016,4,39,101,14,49
2017_q3,,Cardiac Valve Replacement,,Zone 4,QE2,2017,3,,,33,80
2016_q4,,Endometrial Ablation,,Zone 3,Northside General,2016,4,81,103,,
2018_q1,,Lymph Node Biopsy,,Zone 4,QE2,2018,1,4,42,15,49
2017_q3,,Pacemaker Insertion,,Total,Provincial,2017,3,9,19,17,46
2017_q2,,Knee Replacement - Partial,,Zone 4,QE2,2017,2,62,87,160,200
2017_q1,,Endometrial Ablation,,Zone 2,Aberdeen Hospital,2017,1,36,107,61,93
2017_q3,,Tendon / Ligament Repair,,Total,Provincial,2017,3,46,191,30,141
2017_q4,,Hernia Repair - Umbilical,,Zone 1,Valley Regional,2017,4,74,114,39,99
2016_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Total,Provincial,2016,4,14,84,28,96
2016_q4,,Bowel Resection - Laparoscopic,,Zone 3,Cape Breton Regional,2016,4,8,35,19,28
2017_q1,,Salivary Gland Surgery,,Total,Provincial,2017,1,28,47,76,258
2018_q1,,Kidney Removal,,Zone 1,Valley Regional,2018,1,,,51,55
2016_q4,,Hysteroscopy,,Zone 1,Yarmouth Regional,2016,4,21,28,38,117
2017_q4,,Cystoscopy,,Zone 3,Cape Breton Regional,2017,4,23,216,23,241
2017_q1,,Bariatric Surgery (for Weight Loss),,Zone 4,QE2,2017,1,1124,2490,35,55
2017_q2,,Cardiac Valve Replacement,,Total,Provincial,2017,2,,,23,98
2017_q4,,Hip Replacement,,Total,Provincial,2017,4,92,380,174,597
2017_q1,,Bowel Resection - Open,,Zone 4,Dartmouth General,2017,1,24,34,27,70
2017_q3,,Hip Replacement Revision,,Total,Provincial,2017,3,62,789,46,142
2017_q2,,Ear Tubes  (Pediatric),,Zone 3,Cape Breton Regional,2017,2,63,111,15,40
2017_q3,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2017,3,,,61,205
2017_q4,,Surgery for Hearing or Balance Problems of the Ear,,IWK,IWK,2017,4,42,131,33,121
2017_q1,,Gallbladder Surgery,,Zone 1,Valley Regional,2017,1,35,77,49,108
2017_q3,,Kidney Stone Surgery,,Zone 4,QE2,2017,3,29,71,44,159
2016_q3,,Breast Cancer Surgery,,Total,Provincial,2016,3,8,32,16,35
2018_q1,,Coronary Artery Bypass Graft,,Zone 4,QE2,2018,1,,,12,39
2016_q4,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2016,4,,,22,163
2016_q3,,Vascular Bypass Surgery,,Zone 1,Valley Regional,2016,3,,,82,83
2017_q3,,Tear Duct Surgery,,Zone 4,QE2,2017,3,236,811,,
2016_q4,,Hysteroscopy,,Zone 3,Northside General,2016,4,29,61,25,52
2018_q1,,Bowel Resection - Open,,Zone 2,Colchester East Hants Health Centre,2018,1,21,47,33,96
2017_q3,,Lung Surgery,,Total,Provincial,2017,3,21,56,39,76
2017_q3,,Kidney / Upper Urinary Tract,,Zone 3,Cape Breton Regional,2017,3,,,56,105
2017_q1,,Ear Tubes  (Pediatric),,IWK,IWK,2017,1,40,96,37,81
2017_q3,,Internal Defib Insertion / Loop Recorder,,Total,Provincial,2017,3,,,20,45
2016_q3,,Hand / Upper Extremity,,Zone 4,QE2,2016,3,58,346,85,489
2016_q3,,Ear Tubes  (Pediatric),,IWK,IWK,2016,3,43,93,85,139
2016_q4,,Pancreas Surgery,,Zone 4,QE2,2016,4,14,27,42,146
2018_q1,,Cornea and External Disease,,Total,Provincial,2018,1,75,90,42,68
2016_q4,,Hernia Repair - Umbilical,,Zone 1,South Shore Regional,2016,4,32,146,62,82
2016_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2016,4,9,14,21,60
2017_q2,,Cardiac Valve Replacement,,Zone 4,QE2,2017,2,,,23,98
12month_rolling,Orthopaedic,Knee Scope,"Leighton, Ross K",,,,,201,201,73,123
2016_q3,,Prostate Cancer Surgery,,Total,Provincial,2016,3,7,55,48,98
2016_q3,,Cystoscopy,,Zone 3,Inverness Consolidated Memorial,2016,3,33,50,29,56
2017_q4,,Lung Cancer Surgery,,Zone 4,QE2,2017,4,18,37,24,50
2017_q2,,Pacemaker Insertion,,Total,Provincial,2017,2,14,18,15,31
2017_q4,,Septoplasty,,Zone 1,Valley Regional,2017,4,,,154,168
2018_q1,,Hysteroscopy,,IWK,IWK,2018,1,56,170,51,121
2017_q4,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2017,4,15,160,26,182
2017_q1,,Lymph Node Biopsy,,Total,Provincial,2017,1,17,42,19,51
2016_q3,,Bowel Resection,,Zone 1,Yarmouth Regional,2016,3,10,29,12,70
2016_q3,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2016,3,18,63,12,22
2017_q4,,Hysteroscopy,,Zone 1,South Shore Regional,2017,4,18,67,27,47
2016_q3,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,Cape Breton Regional,2016,3,46,105,20,47
2016_q4,,Knee Replacement Revision,,Zone 4,QE2,2016,4,,,76,427
2016_q3,,Hysteroscopy,,Zone 1,Yarmouth Regional,2016,3,51,92,55,102
2018_q1,,Amputations,,Zone 4,QE2,2018,1,,,33,65
2017_q2,,Cystoscopy,,Zone 4,QE2,2017,2,29,134,36,162
2018_q1,,Temperomandibular Joint Surgery (TMJ),,Total,Provincial,2018,1,142,194,100,335
2018_q1,,Cardiac Valve Replacement,,Total,Provincial,2018,1,,,15,34
2016_q4,,Gastrointestinal Tract Surgery,,Zone 1,Valley Regional,2016,4,17,30,40,73
2016_q3,,Spinal Cord Stimulation Surgery,,Total,Provincial,2016,3,,,13,114
2017_q2,,Varicose Veins,,Zone 4,QE2,2017,2,340,357,,
2017_q1,,Colorectal Cancer Surgery,,Zone 4,Dartmouth General,2017,1,18,30,29,70
2017_q3,,Knee Scope,,Zone 3,New Waterford,2017,3,102,152,38,98
2017_q1,,Amputations,,Total,Provincial,2017,1,21,203,31,72
2017_q3,,Male Reproductive System Surgery,,Zone 3,Northside General,2017,3,39,130,53,93
2017_q1,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2017,1,23,97,39,83
2017_q2,,Septoplasty,,Zone 3,Cape Breton Regional,2017,2,112,399,42,238
2016_q3,,Hysteroscopy,,Zone 3,Northside General,2016,3,30,98,,
2017_q4,,Prostatectomy,,Total,Provincial,2017,4,16,119,52,150
2016_q3,,Tubal Ligation,,Zone 2,Colchester East Hants Health Centre,2016,3,23,53,,
2016_q3,,Breast Cancer Surgery,,Zone 3,St. Marthas Regional,2016,3,5,15,20,42
2017_q1,,Cataract Surgery,,Zone 1,Yarmouth Regional,2017,1,,,85,212
2018_q1,,Hernia Repair  (Adult),,Zone 2,Aberdeen Hospital,2018,1,30,35,133,257
2017_q1,,Male Circumcision  (Adult),,Total,Provincial,2017,1,48,169,65,246
2018_q1,,Nerve Surgery,,Zone 3,Northside General,2018,1,,,23,39
2016_q3,,Coronary Artery Bypass Graft,,Total,Provincial,2016,3,,,6,71
2017_q1,,Cardiac Valve Replacement,,Zone 4,QE2,2017,1,,,22,113
2016_q4,,AV Fistula Creation/Closure,,Total,Provincial,2016,4,20,51,21,74
2017_q1,,Gastric Surgery - Laparoscopic,,Total,Provincial,2017,1,40,215,63,171
2017_q4,,Male Reproductive System Surgery,,Zone 2,Colchester East Hants Health Centre,2017,4,29,49,51,127
2017_q3,,Bariatric Surgery (for Weight Loss),,Total,Provincial,2017,3,54,2544,32,223
2017_q1,,Pacemaker Insertion,,Total,Provincial,2017,1,5,8,23,47
2017_q4,,Tear Duct Surgery,,Zone 4,QE2,2017,4,70,650,,
2017_q1,,Strabismus Surgery  (Pediatric),,Total,Provincial,2017,1,50,64,115,427
2017_q1,,Prostatectomy,,Zone 4,QE2,2017,1,36,107,38,102
2016_q3,,Female Incontinence Surgery,,Zone 2,Colchester East Hants Health Centre,2016,3,28,68,73,132
2017_q4,,Lung Surgery,,Total,Provincial,2017,4,18,39,24,58
2016_q4,,Knee Replacement - Partial,,Zone 2,Aberdeen Hospital,2016,4,,,462,547
2016_q4,,Septoplasty,,Zone 1,Valley Regional,2016,4,,,118,236
2016_q4,,Knee Replacement,,Zone 4,Dartmouth General,2016,4,197,512,437,811
2017_q2,,Esophagectomy / Esophageal Surgery,,Zone 4,QE2,2017,2,,,39,137
2016_q3,,Hysteroscopy,,Zone 1,South Shore Regional,2016,3,8,19,22,51
2017_q2,,Gastrointestinal Tract Surgery,,Zone 4,QE2,2017,2,21,140,50,285
2017_q1,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2017,1,21,41,22,78
2017_q3,,Cardiovascular Surgery,,Total,Provincial,2017,3,,,15,62
2017_q2,,Hernia Repair - Incisional,,Zone 1,Valley Regional,2017,2,45,174,46,79
2016_q4,,AV Fistula Creation/Closure,,Zone 3,Northside General,2016,4,,,17,22
2016_q4,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Total,Provincial,2016,4,24,120,45,170
2016_q3,,Knee Replacement Revision,,Zone 4,QE2,2016,3,,,50,379
2018_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 3,St. Marthas Regional,2018,1,,,71,121
2016_q3,,Orthopaedic Trauma,,IWK,IWK,2016,3,,,5,138
2017_q2,,Cystoscopy,,Zone 3,Cape Breton Regional,2017,2,28,126,21,181
2016_q4,,Hysterectomy  (Cancer Not Suspected),,Total,Provincial,2016,4,49,179,61,185
2016_q4,,Insertion Vascular Access Catheter,,Total,Provincial,2016,4,6,8,13,45
2016_q3,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 4,Dartmouth General,2016,3,109,513,136,318
2016_q3,,Surgery for Hearing or Balance Problems of the Ear,,Total,Provincial,2016,3,61,456,81,229
2017_q1,,Kidney Removal,,Zone 4,QE2,2017,1,7,22,48,116
2017_q3,,Hysteroscopy,,Zone 2,Colchester East Hants Health Centre,2017,3,25,35,47,78
2016_q4,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2016,4,14,106,31,190
2017_q3,,Prostate Surgery,,Zone 4,QE2,2017,3,28,96,50,110
2017_q4,,Hernia Repair  (Adult),,Zone 3,Glace Bay,2017,4,55,134,39,181
2018_q1,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 3,Cape Breton Regional,2018,1,28,105,19,33
2017_q1,,Bowel Resection,,Zone 3,Cape Breton Regional,2017,1,14,29,22,42
2017_q1,,Bladder Surgery,,Zone 4,QE2,2017,1,21,154,35,99
2018_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 3,New Waterford,2018,1,,,60,180
2017_q3,,Bladder Surgery,,Zone 4,QE2,2017,3,20,89,28,50
2017_q1,,Lung Surgery,,Zone 4,QE2,2017,1,20,50,49,88
2017_q1,,Prostate Surgery,,Zone 3,Northside General,2017,1,26,175,27,58
2017_q4,,Lung Cancer Surgery,,Total,Provincial,2017,4,18,37,24,50
2016_q4,,Hernia Repair - Umbilical,,Zone 4,QE2,2016,4,85,185,51,211
2017_q3,,Kidney Stone Surgery,,Zone 2,Colchester East Hants Health Centre,2017,3,14,28,43,68
2017_q1,,Kidney / Upper Urinary Tract,,Zone 4,QE2,2017,1,27,85,51,125
2017_q3,,Endometrial Ablation,,Zone 1,South Shore Regional,2017,3,,,28,49
2016_q3,,Hysteroscopy,,Zone 3,St. Marthas Regional,2016,3,49,77,97,140
2017_q3,,Bowel Resection - Open,,Zone 3,Cape Breton Regional,2017,3,,,14,18
2016_q3,,Carpal Tunnel Surgery,,Zone 4,Dartmouth General,2016,3,21,56,33,166
2016_q4,,Gallbladder Surgery,,Zone 2,Aberdeen Hospital,2016,4,16,34,71,160
2017_q4,,Liver Surgery,,Total,Provincial,2017,4,12,25,23,73
2017_q1,,Bladder Cancer Surgery,,Total,Provincial,2017,1,21,130,35,86
2017_q1,,Cataract Surgery,,Zone 1,Soldiers Memorial,2017,1,105,182,101,232
2016_q4,,Cystoscopy,,Zone 2,Colchester East Hants Health Centre,2016,4,20,57,52,104
2016_q3,,Gallbladder Surgery,,Zone 1,South Shore Regional,2016,3,15,60,30,80
2016_q4,,Hand / Upper Extremity,,Zone 4,QE2,2016,4,63,180,189,325
2017_q2,,Strabismus Surgery  (Pediatric),,IWK,IWK,2017,2,109,390,101,257
2017_q2,,Breast Cancer Surgery,,Total,Provincial,2017,2,8,28,17,36
2017_q2,,Amputations,,Total,Provincial,2017,2,77,320,16,34
2017_q4,,Gastric Surgery - Laparoscopic,,Zone 4,QE2,2017,4,63,124,40,288
2017_q1,,Gastrointestinal Tract Surgery,,Zone 1,South Shore Regional,2017,1,45,92,23,36
2016_q3,,Colorectal Cancer Surgery,,Zone 1,Valley Regional,2016,3,12,27,27,47
2016_q4,,Hysterectomy  (Cancer Suspected or Proven),,Zone 4,QE2,2016,4,14,26,32,49
2017_q4,,Pilonidal Cyst Surgery,,Total,Provincial,2017,4,51,174,47,188
2016_q3,,Hernia Repair - Inguinal/Femoral,,Zone 4,QE2,2016,3,48,103,50,79
2016_q4,,Hysteroscopy,,Zone 4,Dartmouth General,2016,4,34,71,30,44
2017_q4,,Sacral Nerve Stimulation,,Zone 4,QE2,2017,4,70,578,98,150
2017_q4,,Cataract Surgery,,Zone 2,Cumberland Regional,2017,4,30,53,19,75
2016_q4,,Prostatectomy,,Zone 4,QE2,2016,4,8,32,36,139
2017_q4,,Lacrimal Duct Probing,,Total,Provincial,2017,4,127,650,48,124
2016_q4,,Bone / Cartilage Graft,,Zone 1,South Shore Regional,2016,4,,,136,220
2016_q3,,Gallbladder Surgery,,Zone 3,St. Marthas Regional,2016,3,25,42,62,135
2017_q1,,Cardiac Valve Replacement,,Total,Provincial,2017,1,,,23,113
2017_q1,,Angioplasty,,Zone 4,QE2,2017,1,42,50,48,179
2017_q4,,Endometrial Ablation,,Zone 3,Northside General,2017,4,44,107,39,146
2017_q3,,Lung Surgery,,Zone 4,QE2,2017,3,21,56,39,76
2017_q1,,Prostate Surgery,,Zone 1,Valley Regional,2017,1,97,184,61,219
2016_q3,,Hernia Repair  (Adult),,Zone 3,Glace Bay,2016,3,21,272,13,182
2017_q2,,Hemorrhoidectomy,,Total,Provincial,2017,2,83,373,45,216
2017_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 1,Valley Regional,2017,1,43,133,148,169
2017_q4,,Bowel Resection - Laparoscopic,,Zone 1,Valley Regional,2017,4,23,53,,
2017_q2,,Female Incontinence Surgery,,Zone 4,QE2,2017,2,71,111,114,366
2017_q3,,Hysteroscopy,,Zone 1,Valley Regional,2017,3,30,63,55,91
2016_q4,,Kidney Removal,,Zone 4,QE2,2016,4,7,30,62,119
2016_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2016,4,,,23,50
2016_q4,,Gastric Surgery,,Zone 4,QE2,2016,4,19,42,40,71
2018_q1,,Male Reproductive System Surgery,,Zone 1,Valley Regional,2018,1,,,98,398
2017_q1,,Bowel Resection - Laparoscopic,,Zone 3,Cape Breton Regional,2017,1,14,50,22,42
2016_q4,,Dental Extractions and Restorations  (Pediatric),,IWK,IWK,2016,4,368,637,83,320
2017_q1,,Bowel Resection - Open,,Total,Provincial,2017,1,21,95,30,85
2017_q2,,Laryngology and Vocal Cord Surgery,,Total,Provincial,2017,2,39,94,49,356
2017_q4,,Lung Surgery,,Zone 4,QE2,2017,4,18,39,24,58
2016_q4,,Bowel Resection,,Zone 4,QE2,2016,4,19,82,32,190
2016_q3,,Bowel Resection,,Zone 4,Dartmouth General,2016,3,27,49,43,107
2018_q1,,Knee Replacement,,Zone 2,Aberdeen Hospital,2018,1,136,406,263,459
12month_rolling,Orthopaedic,Tendon / Ligament Repair,"Orlik, Benjamin",,,,,8,8,34,62
12month_rolling,Oral Maxillofacial,Dental Extractions and Restorations  (Pediatric),"Cyr, Philip L",,,,,47,209,28,38
12month_rolling,Ophthalmology,All,"Archibald, Curtis",,,,,67,436,61,155
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,Zone 2,Colchester East Hants Health Centre,2018,3,39,70,109,145
2018_q1,,Surgery for Hearing or Balance Problems of the Ear,,Total,Provincial,2018,1,48,232,38,117
12month_rolling,,Nissen Fundoplication - Open,,Total,Provincial,2018,3,30,59,114,753
12month_rolling,Cardiac Surgery,Cardiac Valve Replacement,"Wood, Jeremy R",,,,,,,9,49
12month_rolling,Plastic Surgery,Breast Reduction Surgery,"Williams, Jason G",,,,,362,1442,45,106
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Tynski, Gregory",,,,,92,190,45,140
2018_q3,,Hysteroscopy,,IWK,IWK,2018,3,61,156,50,89
2017_q3,,Knee Replacement - Partial,,Zone 2,Aberdeen Hospital,2017,3,,,446,486
12month_rolling,Obstetrics/Gynaecology,All,"Bouzayen, Renda",,,,,79,461,57,127
2018_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Valley Regional,2018,2,167,405,129,184
2018_q1,,Septoplasty,,Zone 3,St. Marthas Regional,2018,1,63,100,102,141
2018_q3,,Cardiac Valve Replacement,,Total,Provincial,2018,3,,,42,105
2016_q4,,Knee Scope,,Total,Provincial,2016,4,59,294,93,269
2018_q3,,Internal Defib Insertion / Loop Recorder,,Total,Provincial,2018,3,,,38,66
2016_q3,,Knee Replacement,,Zone 1,Valley Regional,2016,3,140,374,292,766
12month_rolling,Urology,Bladder Cancer Surgery,"Butler, Trevor",,,,,30,293,33,84
12month_rolling,,Bowel Resection - Laparoscopic,,Total,Provincial,2018,3,22,112,28,137
2017_q4,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 1,Valley Regional,2017,4,65,246,55,85
2018_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2018,2,,,46,62
12month_rolling,Otolaryngology (ENT),Sinus Surgery,"Brodarec, Ivan",,,,,68,280,105,224
2016_q4,,Hernia Repair - Incisional,,Zone 3,Cape Breton Regional,2016,4,56,186,,
12month_rolling,Thoracic Surgery,Chest Scopes  (Adult),"Henteleff, Harry J",,,,,21,29,17,29
12month_rolling,Orthopaedic,All,"Dodd, Faith",,,,,55,129,46,156
2017_q2,,Hernia Repair - Laparoscopic Inguinal Femoral,,Total,Provincial,2017,2,59,180,56,269
2016_q4,,Carpal Tunnel Surgery,,Zone 1,Valley Regional,2016,4,72,300,126,246
12month_rolling,,Spinal Cord Stimulation Surgery,,Total,Provincial,2018,3,46,214,75,205
2017_q1,,Nerve Surgery,,Total,Provincial,2017,1,39,267,36,127
2018_q1,,Knee Scope,,Zone 1,Yarmouth Regional,2018,1,33,132,133,225
12month_rolling,,Foot - Arthrodesis,,Zone 3,New Waterford,2018,3,,,91,122
2017_q1,,Shoulder Arthroscopy,,Zone 4,Dartmouth General,2017,1,48,181,90,232
2018_q2,,Male Circumcision  (Adult),,Zone 4,QE2,2018,2,74,186,38,280
12month_rolling,Obstetrics/Gynaecology,Pelvic Floor Repair,"Rudd, Michael W",,,,,139,296,189,231
2017_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 3,St. Marthas Regional,2017,4,51,118,90,256
