Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
12month_rolling,Otolaryngology (ENT),All,"Maltby, Catherine Christine",,,,,93,244,91,188
12month_rolling,Ophthalmology,All,"O'Brien, Daniel Michael",,,,,7,52,80,276
2015_q3,,Gallbladder Surgery,,Zone 1,Yarmouth Regional,2015,3,22,79,64,139
3month_rolling,,Cardiac Valve Replacement,,Zone 4,QE2,2017,3,,,21,71
12month_rolling,Ophthalmology,All,"Nicolela, Marcelo",,,,,63,331,127,393
2017_q2,,Bowel Resection,,Total,Provincial,2017,2,18,72,25,90
12month_rolling,Urology,Cystoscopy,"Massaro, Peter",,,,,13,32,29,61
2015_q2,,Prostate Surgery,,Zone 2,Colchester East Hants Health Centre,2015,2,67,91,83,123
12month_rolling,Dental,Dental Extractions and Restorations  (Pediatric),"Dakin, Todd",,,,,86,160,125,248
12month_rolling,Thoracic Surgery,Thoroscopy / Pleuroscopy,"French, Daniel Gerard",,,,,12,17,29,53
2016_q4,,Breast Cancer Surgery,,Zone 3,St. Marthas Regional,2016,4,14,61,17,30
2017_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,St. Marthas Regional,2017,1,,,41,69
2016_q3,,Hernia Repair - Laparoscopic Ventral,,Total,Provincial,2016,3,12,70,48,88
3month_rolling,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 1,Valley Regional,2017,3,20,36,59,98
12month_rolling,Oral Maxillofacial,Dental Extractions and Restorations  (Pediatric),"Doucet, Jean-Charles",,,,,,,109,376
2016_q2,,Tubal Ligation,,Zone 1,Yarmouth Regional,2016,2,119,226,93,139
2016_q1,,Sinus Surgery,,Total,Provincial,2016,1,23,187,27,255
2015_q4,,Tendon / Ligament Repair,,Total,Provincial,2015,4,68,283,84,279
2016_q3,,Nerve Surgery,,Zone 4,QE2,2016,3,112,176,29,127
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Gardner, Angus J",,,,,16,62,34,84
12month_rolling,General Surgery,All,"Johnson, Kevin",,,,,17,56,27,76
12month_rolling,Urology,All,"Asim, Hammad",,,,,11,118,22,100
2015_q3,,Sinus Surgery,,Total,Provincial,2015,3,37,135,104,377
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Edgar, Dawn C",,,,,71,286,76,210
3month_rolling,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2017,3,13,31,45,68
2016_q1,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 3,Cape Breton Regional,2016,1,77,233,34,111
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 4,Dartmouth General,2017,3,119,236,83,202
12month_rolling,Urology,Kidney / Upper Urinary Tract,"Chun, Samuel S",,,,,18,23,120,152
2016_q4,,Endometrial Ablation,,Zone 2,Aberdeen Hospital,2016,4,,,40,155
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Clark, F Donald",,,,,22,64,48,115
2015_q2,,Cystoscopy,,Zone 3,Inverness Consolidated Memorial,2015,2,54,94,15,43
2015_q4,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Yarmouth Regional,2015,4,81,410,16,97
2017_q1,,Nissen Fundoplication - Laparoscopic,,Zone 4,QE2,2017,1,63,215,42,392
2015_q3,,Back Surgery  (Pediatric),,Total,Provincial,2015,3,,,317,756
2017_q2,,Ear Tubes  (Pediatric),,Total,Provincial,2017,2,43,111,45,92
3month_rolling,,Knee Scope,,Zone 1,Valley Regional,2017,3,65,265,82,180
2015_q3,,Breast Reduction Surgery,,Total,Provincial,2015,3,122,396,64,294
2016_q3,,Hernia Repair  (Adult),,Zone 4,QE2,2016,3,49,92,63,156
2017_q1,,Tubal Ligation,,IWK,IWK,2017,1,,,74,107
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 3,Cape Breton Regional,2017,3,28,233,25,208
12month_rolling,Ophthalmology,Cataract Surgery,"George, Stanley",,,,,76,140,75,150
2016_q1,,Ear Tubes  (Adult),,Zone 1,Valley Regional,2016,1,147,350,71,83
2017_q2,,Breast Reconstruction,,Total,Provincial,2017,2,25,441,62,461
2016_q1,,Cervical Spine (Neck) Surgery,,Zone 4,QE2,2016,1,77,308,64,127
2016_q1,,Bone / Cartilage Graft,,Total,Provincial,2016,1,37,64,95,172
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Hart, Robert D",,,,,20,57,21,155
2016_q3,,Carpal Tunnel Surgery,,Zone 2,Aberdeen Hospital,2016,3,17,85,90,97
2015_q2,,Lung Cancer Surgery,,Zone 4,QE2,2015,2,28,46,46,78
2016_q2,,Lymph Node Biopsy,,Total,Provincial,2016,2,12,70,21,60
2017_q2,,Gallbladder Surgery,,Zone 3,St. Marthas Regional,2017,2,15,27,59,94
12month_rolling,Neurosurgery,Brain Surgery  (Pediatric),"McNeely, P Daniel",,,,,21,47,21,74
12month_rolling,Neurosurgery,Brain Surgery  (Adult),"Pickett, Gwynedd",,,,,41,151,31,106
12month_rolling,General Surgery,Pacemaker Insertion,"Cole, Basilon",,,,,24,24,9,29
2016_q3,,Gallbladder Surgery,,Zone 3,Cape Breton Regional,2016,3,75,178,19,82
2015_q4,,Bladder Cancer Surgery,,Zone 4,QE2,2015,4,21,49,25,38
2016_q2,,Laryngology and Vocal Cord Surgery,,Zone 1,Valley Regional,2016,2,22,27,,
2015_q3,,Septoplasty,,Zone 3,St. Marthas Regional,2015,3,14,45,93,181
2017_q1,,Hernia Repair - Inguinal/Femoral,,Zone 2,Colchester East Hants Health Centre,2017,1,31,102,64,177
12month_rolling,General Surgery,Bowel Resection - Open,"Butler, Clay K",,,,,24,53,20,72
12month_rolling,Obstetrics/Gynaecology,Pelvic Floor Repair,"Clague, Nicholas Paul",,,,,45,71,76,79
2016_q2,,Cleft Lip/Palate  (Pediatric),,Total,Provincial,2016,2,,,97,209
12month_rolling,General Surgery,Bowel Resection - Open,"O'Malley, Vincent",,,,,15,77,17,36
12month_rolling,General Surgery,Pilonidal Cyst Surgery,"Shih, Warren W",,,,,155,164,109,159
2016_q2,,Male Circumcision  (Pediatric),,IWK,IWK,2016,2,29,35,69,190
12month_rolling,General Surgery,All,"Ellsmere, James C",,,,,161,2288,36,117
2016_q3,,Kidney Stone Surgery,,Total,Provincial,2016,3,30,77,44,106
12month_rolling,Neurosurgery,Back Surgery  (Adult),"Weise, Lutz",,,,,50,194,51,114
2016_q1,,Male Circumcision  (Adult),,Zone 4,QE2,2016,1,79,128,41,161
12month_rolling,Cardiac Surgery,All,"Herman, Christine",,,,,27,127,26,92
12month_rolling,Thoracic Surgery,Thoroscopy / Pleuroscopy,"Plourde, Madelaine M",,,,,19,25,23,41
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Lamey, Alicia",,,,,22,62,25,89
12month_rolling,General Surgery,Colorectal Cancer Surgery,"O'Sullivan, Colleen M",,,,,59,83,20,33
2016_q2,,Hernia Repair  (Adult),,Zone 4,Hants Community Hospital,2016,2,38,77,82,225
2016_q1,,Knee Scope,,Zone 4,QE2,2016,1,70,263,142,498
2017_q2,,Carpal Tunnel Surgery,,Zone 3,St. Marthas Regional,2017,2,69,371,86,261
2017_q2,,Hernia Repair - Laparoscopic Inguinal Femoral,,Total,Provincial,2017,2,61,174,53,253
2015_q2,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2015,2,13,27,19,23
12month_rolling,Obstetrics/Gynaecology,All,"Farrell, Scott A",,,,,161,203,72,163
2015_q3,,Gallbladder Surgery,,Zone 3,Northside General,2015,3,92,240,28,51
12month_rolling,Ophthalmology,All,"Carrillo, Monica",,,,,95,185,34,102
2015_q3,,Laryngology and Vocal Cord Surgery,,Total,Provincial,2015,3,32,117,29,221
2017_q2,,Strabismus Surgery  (Pediatric),,Total,Provincial,2017,2,,,103,257
2015_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 3,St. Marthas Regional,2015,4,11,34,36,50
3month_rolling,,Endometrial Ablation,,Zone 1,South Shore Regional,2017,3,,,26,29
12month_rolling,,Otoplasty,,IWK,IWK,2017,3,64,108,170,355
2015_q4,,Hip Replacement Revision,,Total,Provincial,2015,4,39,97,52,167
12month_rolling,Plastic Surgery,Melanoma Excision,"Hayden, David",,,,,6,16,35,61
2016_q4,,Female Incontinence Surgery,,IWK,IWK,2016,4,149,205,153,323
2016_q2,,Tubal Ligation,,Zone 3,Northside General,2016,2,,,49,214
2016_q2,,Ear Tubes  (Adult),,Total,Provincial,2016,2,32,230,56,118
2015_q3,,Head and Neck Surgery,,Zone 4,QE2,2015,3,8,27,26,97
2017_q1,,Gallbladder Surgery,,Zone 2,Colchester East Hants Health Centre,2017,1,29,81,53,111
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Taiwo, Adedayo MD",,,,,49,84,146,179
2016_q1,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 1,South Shore Regional,2016,1,31,129,19,106
2017_q2,,Dental Extractions and Restorations  (Adult),,Zone 1,Valley Regional,2017,2,56,77,70,120
2017_q1,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2017,1,17,56,27,90
2016_q2,,Kidney Removal,,Total,Provincial,2016,2,8,37,38,83
12month_rolling,Dental,Dental Extractions and Restorations  (Adult),"MacIntosh, Alan B",,,,,,,97,116
2016_q4,,Back Surgery  (Adult),,Total,Provincial,2016,4,117,395,53,185
2016_q3,,Temperomandibular Joint Surgery (TMJ),,Zone 4,QE2,2016,3,99,161,127,219
2015_q3,,Tubal Ligation,,Zone 4,Dartmouth General,2015,3,,,77,120
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Alawashez, Abdulrahim S",,,,,18,118,32,52
12month_rolling,Urology,Male Circumcision  (Adult),"Miller, M Dale",,,,,65,148,36,187
12month_rolling,Otolaryngology (ENT),Septoplasty,"Massoud, Emad A",,,,,41,147,344,362
3month_rolling,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2017,3,,,62,205
12month_rolling,Urology,Kidney Removal,"Rent, Kenneth",,,,,13,19,40,175
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Nette, Farrell",,,,,220,400,22,42
2015_q4,,Kidney Removal,,Total,Provincial,2015,4,13,29,54,126
2015_q4,,Shoulder Arthroscopy,,Zone 4,Hants Community Hospital,2015,4,72,202,72,193
12month_rolling,Neurosurgery,Cervical Spine (Neck) Surgery,"Christie, Sean D",,,,,65,556,52,188
12month_rolling,General Surgery,Hernia Repair - Umbilical,"MacDonald, Blair",,,,,49,105,59,126
2016_q3,,Kidney Removal,,Zone 3,Cape Breton Regional,2016,3,,,31,63
2016_q4,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2016,4,26,84,19,104
2017_q1,,Gallbladder Surgery,,Zone 4,QE2,2017,1,51,146,62,154
12month_rolling,Ophthalmology,Vitreoretinal Diseases,"O'Brien, Daniel Michael",,,,,7,32,49,183
2015_q4,,Bowel Resection - Open,,Zone 1,Yarmouth Regional,2015,4,,,14,78
12month_rolling,Orthopaedic,All,"Glazebrook, Mark A",,,,,105,416,161,259
2015_q4,,Hernia Repair - Incisional,,Zone 2,Colchester East Hants Health Centre,2015,4,,,98,162
3month_rolling,,Sinus Surgery,,Zone 1,Valley Regional,2017,3,,,86,108
2015_q3,,Melanoma Excision,,Total,Provincial,2015,3,8,29,16,36
2016_q4,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2016,4,24,52,33,70
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Sandland, Helen",,,,,66,180,16,24
2016_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Yarmouth Regional,2016,4,19,70,53,181
12month_rolling,General Surgery,Breast Cancer Surgery,"Wasserman, Lukas",,,,,3,5,30,38
2016_q3,,Gallbladder Surgery,,Zone 4,QE2,2016,3,35,83,57,163
2016_q1,,Dental Extractions and Restorations  (Adult),,Zone 1,South Shore Regional,2016,1,40,74,94,182
2016_q1,,Hemorrhoidectomy,,Zone 4,Dartmouth General,2016,1,149,271,170,314
2017_q1,,Hernia Repair - Inguinal/Femoral,,Zone 1,South Shore Regional,2017,1,20,112,35,52
2017_q1,,Bowel Resection,,Zone 4,Dartmouth General,2017,1,25,30,40,70
2015_q2,,Spinal Cord Stimulation Surgery,,Total,Provincial,2015,2,,,42,55
2015_q4,,Hernia Repair - Laparoscopic Incisional,,Total,Provincial,2015,4,57,197,102,569
2016_q4,,Glaucoma (Eye Pressure Lowering Surgery),,Zone 4,QE2,2016,4,29,133,15,61
2017_q1,,Cystoscopy,,Zone 4,QE2,2017,1,21,134,48,200
2017_q2,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Total,Provincial,2017,2,86,131,97,195
2016_q2,,Hysterectomy  (Cancer Suspected or Proven),,Total,Provincial,2016,2,13,41,28,44
12month_rolling,Obstetrics/Gynaecology,Pelvic Floor Repair,"Amir, Baharak",,,,,168,267,181,246
12month_rolling,Urology,Cystoscopy,"O'Malley, Padraic",,,,,14,174,23,72
2015_q4,,Carpal Tunnel Surgery,,Total,Provincial,2015,4,71,313,60,230
2015_q2,,Hernia Repair - Incisional,,Total,Provincial,2015,2,58,223,88,317
12month_rolling,Obstetrics/Gynaecology,Female Incontinence Surgery,"Bent, Alfred",,,,,57,128,123,259
2017_q2,,Tendon / Ligament Repair,,Zone 4,QE2,2017,2,56,162,34,132
12month_rolling,Ophthalmology,Cataract Surgery,"Mayer, Kristine L",,,,,146,273,35,71
12month_rolling,Urology,Cystoscopy,"Padmore, Dave",,,,,21,62,64,139
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Coolen, Anna",,,,,55,92,34,40
2017_q1,,Hip Arthroscopy,,Zone 4,Dartmouth General,2017,1,56,119,110,182
12month_rolling,,Foot - Bunionectomy,,Zone 1,Valley Regional,2017,3,90,308,212,300
2017_q2,,Carotid Endarterectomy,,Total,Provincial,2017,2,,,12,80
2015_q2,,Osteotomy,,Total,Provincial,2015,2,137,1085,100,262
12month_rolling,Orthopaedic,Shoulder Arthroscopy,"Coady, Catherine M",,,,,90,179,208,610
2017_q1,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,St. Marthas Regional,2017,1,65,118,53,95
12month_rolling,,Male Reproductive System Surgery,,Zone 3,Northside General,2017,3,67,324,66,167
2016_q3,,Breast Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2016,3,9,22,20,30
2016_q1,,Tendon / Ligament Repair,,IWK,IWK,2016,1,,,157,209
12month_rolling,Neurosurgery,All,"Malik, Hatim G",,,,,11,57,15,88
2016_q2,,Pelvic Floor Repair,,Total,Provincial,2016,2,56,174,95,205
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Watson-Jessome, Jane",,,,,31,79,29,75
2015_q3,,Breast Cancer Surgery,,Zone 1,Valley Regional,2015,3,16,38,23,29
2015_q4,,Osteotomy,,Total,Provincial,2015,4,94,879,62,179
2016_q1,,Hernia Repair - Umbilical,,IWK,IWK,2016,1,,,104,127
2016_q2,,Kidney / Upper Urinary Tract,,Total,Provincial,2016,2,25,141,48,127
2015_q4,,Cystoscopy,,Zone 1,South Shore Regional,2015,4,65,124,,
2015_q4,,Hysteroscopy,,Zone 2,Colchester East Hants Health Centre,2015,4,,,43,82
12month_rolling,Orthopaedic,Patella Surgery,"Urquhart, Nathan Alexander",,,,,94,493,142,184
2015_q3,,Bowel Resection,,Total,Provincial,2015,3,21,89,29,78
2015_q4,,Male Circumcision  (Adult),,Zone 3,Cape Breton Regional,2015,4,,,21,84
2016_q3,,Bladder Cancer Surgery,,Zone 1,South Shore Regional,2016,3,11,55,,
2016_q2,,ERCP,,Zone 3,Cape Breton Regional,2016,2,,,7,17
2015_q2,,Breast Cancer Surgery,,Zone 3,St. Marthas Regional,2015,2,12,36,15,36
2016_q4,,Bladder Cancer Surgery,,Zone 4,QE2,2016,4,7,40,32,54
2015_q2,,Prostatectomy,,Total,Provincial,2015,2,21,91,51,92
3month_rolling,,Endometrial Ablation,,Zone 3,St. Marthas Regional,2017,3,,,116,239
2015_q3,,Shoulder Arthroscopy,,Zone 2,Aberdeen Hospital,2015,3,61,257,98,224
2016_q3,,Laryngology and Vocal Cord Surgery,,Zone 4,QE2,2016,3,36,87,42,346
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Klassen, Dennis R",,,,,72,124,63,186
2015_q4,,ERCP,,Zone 3,Cape Breton Regional,2015,4,,,6,20
12month_rolling,Thoracic Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"McGory,Rodney W",,,,,14,28,36,58
2016_q4,,Bowel Resection,,Zone 2,Colchester East Hants Health Centre,2016,4,22,52,28,49
12month_rolling,Neurosurgery,All,"Pickett, Gwynedd",,,,,47,199,34,114
2016_q4,,Male Reproductive System Surgery,,Zone 2,Cumberland Regional,2016,4,18,75,77,116
12month_rolling,General Surgery,All,"McGibney, Kieron",,,,,21,89,41,107
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Adult),"Brodarec, Ivan",,,,,50,258,53,118
2016_q3,,Prostate Cancer Surgery,,Zone 4,QE2,2016,3,7,43,47,131
2015_q2,,Prostate Surgery,,Zone 4,QE2,2015,2,23,91,39,109
2016_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 3,Northside General,2016,4,,,39,74
12month_rolling,General Surgery,Gallbladder Surgery,"Faryniuk, Andrea Marie",,,,,34,204,39,70
3month_rolling,,Hip Replacement Revision,,Total,Provincial,2017,3,234,1022,67,142
2016_q2,,Colorectal Cancer Surgery,,Total,Provincial,2016,2,20,53,25,50
12month_rolling,General Surgery,Hemorrhoidectomy,"Butler, Clay K",,,,,34,130,34,79
12month_rolling,Urology,Male Reproductive System Surgery,"MacLellan, Dawn",,,,,38,66,110,214
2016_q3,,Dental Extractions and Restorations  (Adult),,Zone 4,QE2,2016,3,56,77,58,114
2017_q2,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,St. Marthas Regional,2017,2,,,48,64
2016_q3,,Cervical Spine (Neck) Surgery,,Total,Provincial,2016,3,46,158,55,178
2017_q1,,Cataract Surgery,,Zone 2,Cumberland Regional,2017,1,40,87,31,71
2015_q4,,Prostate Surgery,,Zone 4,QE2,2015,4,29,85,49,111
2015_q2,,Shoulder Arthroscopy,,Zone 1,South Shore Regional,2015,2,62,361,220,279
12month_rolling,Obstetrics/Gynaecology,All,"Edgar, Dawn C",,,,,83,238,83,261
2016_q3,,Thyroid or Parathyroid Surgery,,Total,Provincial,2016,3,39,253,80,234
2017_q2,,Hysteroscopy,,Total,Provincial,2017,2,46,160,33,96
12month_rolling,General Surgery,Hernia Repair  (Adult),"Hoogerboord, C Marius",,,,,124,194,114,295
2015_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,Yarmouth Regional,2015,3,21,44,101,195
2016_q2,,Ear Tubes  (Pediatric),,Zone 3,St. Marthas Regional,2016,2,27,86,62,89
12month_rolling,Orthopaedic,Tendon / Ligament Repair,"Hewins, Edward",,,,,92,106,134,725
2016_q3,,Head and Neck Surgery,,Zone 4,QE2,2016,3,18,63,29,84
2015_q4,,Hernia Repair - Inguinal/Femoral,,Zone 2,Cumberland Regional,2015,4,33,57,40,95
2015_q4,,Male Circumcision  (Pediatric),,Total,Provincial,2015,4,58,100,90,278
2015_q2,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 4,Dartmouth General,2015,2,115,167,83,218
2016_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Valley Regional,2016,2,95,212,59,130
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Mitchell, Alex D",,,,,154,177,201,319
2016_q2,,Vascular Bypass Surgery,,Zone 1,Valley Regional,2016,2,,,87,112
2016_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 3,Cape Breton Regional,2016,4,76,112,49,106
12month_rolling,Obstetrics/Gynaecology,Female Incontinence Surgery,"MacQuarrie, Robyn M",,,,,33,49,30,31
2015_q2,,Bladder Surgery,,Zone 4,QE2,2015,2,13,21,28,90
2017_q2,,Esophagectomy / Esophageal Surgery,,Total,Provincial,2017,2,14,28,39,137
2015_q4,,Knee Scope,,Zone 4,Hants Community Hospital,2015,4,104,200,55,237
12month_rolling,Obstetrics/Gynaecology,All,"Bent, Alfred",,,,,43,120,123,259
2016_q1,,Ear Tubes  (Pediatric),,Total,Provincial,2016,1,42,125,38,90
12month_rolling,General Surgery,Gallbladder Surgery,"Stoddart, Todd",,,,,23,63,29,52
2015_q3,,Hernia Repair - Inguinal/Femoral,,Zone 4,Hants Community Hospital,2015,3,,,56,71
12month_rolling,,Gastric Surgery,,Zone 3,Cape Breton Regional,2017,3,,,13,33
2016_q1,,Breast Reconstruction,,Total,Provincial,2016,1,48,496,45,227
2015_q4,,Bladder Surgery,,Zone 4,QE2,2015,4,12,44,35,95
2016_q4,,Bowel Resection,,Zone 2,Cumberland Regional,2016,4,,,14,36
12month_rolling,Orthopaedic,All,"Beveridge,William K",,,,,67,126,224,368
2016_q1,,Colorectal Cancer Surgery,,Zone 1,Yarmouth Regional,2016,1,19,57,15,56
2015_q3,,Hernia Repair - Umbilical,,Zone 2,Aberdeen Hospital,2015,3,8,183,,
2016_q2,,AV Fistula Creation/Closure,,Zone 4,QE2,2016,2,19,51,33,117
2015_q2,,Angioplasty,,Total,Provincial,2015,2,,,24,84
2015_q4,,Colorectal Cancer Surgery,,Zone 4,Dartmouth General,2015,4,46,107,34,64
2015_q2,,Endometrial Ablation,,Zone 2,Aberdeen Hospital,2015,2,,,93,112
2016_q2,,Back Surgery  (Pediatric),,Total,Provincial,2016,2,,,225,367
12month_rolling,Otolaryngology (ENT),Tonsillectomy and/or Adenoidectomy  (Adult),"LeBlanc, Robin B",,,,,68,216,248,345
12month_rolling,General Surgery,Gallbladder Surgery,"Lapierre, Stephanie",,,,,35,118,22,72
2016_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,St. Marthas Regional,2016,1,39,78,105,155
12month_rolling,,Esophagectomy / Esophageal Surgery,,Zone 3,Cape Breton Regional,2017,3,3,23,,
12month_rolling,General Surgery,Gastric Surgery,"Mills, Jessica Louise",,,,,19,43,23,75
2016_q2,,Glaucoma (Eye Pressure Lowering Surgery),,Total,Provincial,2016,2,31,126,13,50
12month_rolling,Urology,Kidney Removal,"Puthenparumpil, Jacob",,,,,22,44,66,88
2016_q2,,Kidney Stone Surgery,,Total,Provincial,2016,2,17,77,40,91
12month_rolling,Otolaryngology (ENT),Laryngology and Vocal Cord Surgery,"Chokshi, Rashmikant G",,,,,35,106,21,109
2016_q2,,Septoplasty,,Zone 1,South Shore Regional,2016,2,189,386,,
12month_rolling,Otolaryngology (ENT),Thyroid or Parathyroid Surgery,"Trites, Jonathan R",,,,,96,247,86,353
12month_rolling,Plastic Surgery,Orthopaedic Trauma,"Dickson, Lisa Marie",,,,,1,2,4,4
12month_rolling,,Hernia Repair - Umbilical,,Zone 3,Inverness Consolidated Memorial,2017,3,,,32,74
12month_rolling,Obstetrics/Gynaecology,Female Incontinence Surgery,"Amir, Baharak",,,,,161,259,150,216
2017_q2,,Male Reproductive System Surgery,,Zone 3,Inverness Consolidated Memorial,2017,2,50,77,18,48
2015_q2,,Lymph Node Biopsy,,Total,Provincial,2015,2,8,48,16,71
12month_rolling,Oral Maxillofacial,Temperomandibular Joint Surgery (TMJ),"Davis, Benjamin",,,,,99,202,109,173
12month_rolling,Dental,Bone / Cartilage Graft,"Bourque, Susan",,,,,33,54,49,273
2016_q4,,Colorectal Cancer Surgery,,Zone 1,Valley Regional,2016,4,14,17,34,44
2015_q3,,Hernia Repair - Inguinal/Femoral,,Zone 3,Northside General,2015,3,62,91,28,58
2016_q3,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2016,3,13,19,23,46
2016_q4,,Gastric Surgery - Laparoscopic,,Total,Provincial,2016,4,44,196,68,235
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Shih, Warren W",,,,,110,178,83,197
2016_q3,,Hernia Repair  (Adult),,Total,Provincial,2016,3,40,129,56,139
2016_q1,,Hernia Repair - Incisional,,Zone 1,Valley Regional,2016,1,12,36,65,127
2016_q3,,Female Incontinence Surgery,,IWK,IWK,2016,3,168,221,113,170
2016_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2016,1,,,153,212
2016_q1,,Dental Extractions and Restorations  (Adult),,Zone 3,New Waterford,2016,1,,,69,126
2016_q4,,Hernia Repair - Umbilical,,Zone 4,Dartmouth General,2016,4,124,154,99,195
2015_q2,,Cystoscopy,,Total,Provincial,2015,2,38,124,35,135
12month_rolling,General Surgery,Gallbladder Surgery,"McGibney, Kieron",,,,,21,51,41,82
2017_q1,,Tendon / Ligament Repair,,IWK,IWK,2017,1,,,94,154
2015_q3,,Back Surgery  (Adult),,Total,Provincial,2015,3,56,205,80,300
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Suspected or Proven),"Tynski, Gregory",,,,,55,60,58,97
12month_rolling,General Surgery,Bowel Resection,"Kenyon, Chris",,,,,22,37,37,191
3month_rolling,,Strabismus Surgery  (Adult),,Zone 4,QE2,2017,3,828,877,251,316
12month_rolling,General Surgery,Bowel Resection,"Murphy, Christopher",,,,,18,34,28,97
3month_rolling,,Vascular Bypass Surgery,,Zone 4,QE2,2017,3,16,34,50,116
2015_q4,,Cystoscopy,,Total,Provincial,2015,4,32,133,33,125
3month_rolling,,Brain Surgery  (Adult),,Zone 4,QE2,2017,3,35,219,20,128
2016_q3,,Gastrointestinal Tract Surgery - Laparoscopic,,Total,Provincial,2016,3,18,67,26,55
2015_q2,,Knee Replacement - Partial,,Zone 2,Aberdeen Hospital,2015,2,,,364,451
2016_q3,,Bowel Resection,,Total,Provincial,2016,3,15,49,26,83
12month_rolling,,Hernia Repair - Laparoscopic Umbilical,,Zone 4,Dartmouth General,2017,3,134,352,128,149
12month_rolling,Ophthalmology,Glaucoma (Eye Pressure Lowering Surgery),"Rafuse, Paul E",,,,,28,79,14,44
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Nader, Nabil",,,,,15,33,35,43
2016_q4,,Knee Replacement,,Zone 3,Cape Breton Regional,2016,4,83,154,131,342
2016_q1,,Cystoscopy,,Zone 1,Valley Regional,2016,1,29,124,43,221
12month_rolling,General Surgery,Hernia Repair  (Adult),"Smith, Philip Michael",,,,,62,135,60,130
12month_rolling,General Surgery,Hemorrhoidectomy,"Johnson, Paul M",,,,,118,168,478,1216
2017_q2,,Knee Scope,,Total,Provincial,2017,2,73,255,78,269
2017_q2,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Total,Provincial,2017,2,31,193,48,120
2015_q2,,Ear Tubes  (Adult),,Total,Provincial,2015,2,82,350,39,78
2016_q4,,Cataract Surgery,,Zone 1,Yarmouth Regional,2016,4,120,337,110,159
12month_rolling,General Surgery,Hemorrhoidectomy,"Wasilewski, Leszek J",,,,,229,373,52,109
12month_rolling,General Surgery,All,"Clark, F Donald",,,,,24,60,38,90
12month_rolling,,Shoulder Arthroplasty,,Zone 4,Dartmouth General,2017,3,172,336,269,628
2016_q3,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2016,3,22,68,25,73
2016_q1,,Nerve Surgery,,Total,Provincial,2016,1,28,396,21,211
2016_q4,,Male Circumcision  (Adult),,Zone 4,Dartmouth General,2016,4,26,64,,
2017_q1,,Breast Cancer Surgery,,Zone 3,Cape Breton Regional,2017,1,11,22,21,40
12month_rolling,General Surgery,All,"Giacomantonio, Carman Anthony",,,,,20,55,50,119
